"","Date","Count"
"1077",2018-03-14,226
"975",2018-03-15,280
"1038",2018-03-16,271
"1080",2018-03-17,247
"1034",2018-03-18,250
"777",2018-03-19,245
"899",2018-03-20,272
"1020",2018-03-21,282
"801",2018-03-22,210
"741",2018-03-23,262
"1066",2018-03-24,233
"1021",2018-03-25,246
"775",2018-03-26,273
"924",2018-03-27,284
"937",2018-03-28,281
"742",2018-03-29,247
"1071",2018-03-30,271
"1015",2018-03-31,260
"922",2018-04-01,248
"1010",2018-04-02,278
"862",2018-04-03,251
"1060",2018-04-04,269
"965",2018-04-05,292
"1067",2018-04-06,234
"905",2018-04-07,279
"979",2018-04-08,219
"735",2018-04-09,253
"751",2018-04-10,274
"1000",2018-04-11,285
"986",2018-04-12,306
"994",2018-04-13,282
"1063",2018-04-14,294
"1039",2018-04-15,219
"1049",2018-04-16,199
"1065",2018-04-17,269
"831",2018-04-18,271
"1023",2018-04-19,260
"1061",2018-04-20,314
"1050",2018-04-21,269
"963",2018-04-22,231
"1062",2018-04-23,258
"1044",2018-04-24,271
"885",2018-04-25,290
"1008",2018-04-26,280
"817",2018-04-27,305
"1041",2018-04-28,285
"1052",2018-04-29,233
"732",2018-04-30,278
"774",2018-05-01,311
"1011",2018-05-02,349
"740",2018-05-03,284
"943",2018-05-04,341
"1009",2018-05-05,298
"897",2018-05-06,259
"815",2018-05-07,309
"1055",2018-05-08,272
"890",2018-05-09,282
"812",2018-05-10,313
"1006",2018-05-11,311
"987",2018-05-12,253
"1048",2018-05-13,231
"939",2018-05-14,260
"809",2018-05-15,330
"1056",2018-05-16,262
"933",2018-05-17,312
"1047",2018-05-18,317
"1046",2018-05-19,267
"870",2018-05-20,262
"1033",2018-05-21,307
"1012",2018-05-22,294
"1054",2018-05-23,340
"985",2018-05-24,290
"997",2018-05-25,302
"790",2018-05-26,292
"805",2018-05-27,257
"1059",2018-05-28,237
"1031",2018-05-29,302
"973",2018-05-30,302
"767",2018-05-31,313
"856",2018-06-01,328
"921",2018-06-02,298
"1042",2018-06-03,212
"940",2018-06-04,293
"760",2018-06-05,317
"919",2018-06-06,297
"1040",2018-06-07,331
"797",2018-06-08,317
"1019",2018-06-09,283
"894",2018-06-10,251
"956",2018-06-11,323
"1007",2018-06-12,309
"792",2018-06-13,301
"789",2018-06-14,343
"895",2018-06-15,380
"888",2018-06-16,276
"967",2018-06-17,256
"786",2018-06-18,307
"826",2018-06-19,292
"984",2018-06-20,307
"1043",2018-06-21,288
"785",2018-06-22,290
"1045",2018-06-23,277
"1003",2018-06-24,286
"983",2018-06-25,333
"879",2018-06-26,305
"998",2018-06-27,333
"995",2018-06-28,294
"1004",2018-06-29,272
"824",2018-06-30,296
"784",2018-07-01,284
"1014",2018-07-02,296
"954",2018-07-03,319
"1030",2018-07-04,273
"991",2018-07-05,317
"873",2018-07-06,275
"830",2018-07-07,260
"1022",2018-07-08,231
"780",2018-07-09,300
"999",2018-07-10,304
"1002",2018-07-11,293
"1017",2018-07-12,288
"946",2018-07-13,286
"982",2018-07-14,284
"773",2018-07-15,250
"959",2018-07-16,256
"868",2018-07-17,245
"759",2018-07-18,279
"860",2018-07-19,292
"945",2018-07-20,280
"1001",2018-07-21,279
"1024",2018-07-22,255
"970",2018-07-23,311
"763",2018-07-24,300
"770",2018-07-25,306
"865",2018-07-26,286
"864",2018-07-27,301
"1027",2018-07-28,289
"1013",2018-07-29,267
"981",2018-07-30,273
"974",2018-07-31,283
"813",2018-08-01,289
"969",2018-08-02,290
"799",2018-08-03,346
"958",2018-08-04,254
"765",2018-08-05,233
"935",2018-08-06,303
"966",2018-08-07,254
"808",2018-08-08,259
"925",2018-08-09,312
"976",2018-08-10,314
"988",2018-08-11,266
"978",2018-08-12,256
"955",2018-08-13,258
"947",2018-08-14,298
"744",2018-08-15,318
"800",2018-08-16,294
"926",2018-08-17,287
"825",2018-08-18,272
"757",2018-08-19,263
"810",2018-08-20,302
"764",2018-08-21,315
"749",2018-08-22,284
"754",2018-08-23,309
"936",2018-08-24,301
"898",2018-08-25,279
"931",2018-08-26,244
"971",2018-08-27,280
"752",2018-08-28,274
"848",2018-08-29,302
"972",2018-08-30,284
"932",2018-08-31,322
"748",2018-09-01,333
"910",2018-09-02,281
"900",2018-09-03,282
"837",2018-09-04,322
"942",2018-09-05,282
"927",2018-09-06,298
"822",2018-09-07,290
"953",2018-09-08,286
"881",2018-09-09,225
"814",2018-09-10,266
"948",2018-09-11,279
"941",2018-09-12,272
"746",2018-09-13,270
"938",2018-09-14,286
"788",2018-09-15,233
"964",2018-09-16,279
"950",2018-09-17,314
"747",2018-09-18,235
"906",2018-09-19,331
"745",2018-09-20,296
"876",2018-09-21,320
"957",2018-09-22,302
"863",2018-09-23,261
"916",2018-09-24,297
"755",2018-09-25,253
"776",2018-09-26,312
"872",2018-09-27,307
"855",2018-09-28,314
"845",2018-09-29,275
"918",2018-09-30,252
"737",2018-10-01,334
"804",2018-10-02,280
"892",2018-10-03,289
"871",2018-10-04,265
"842",2018-10-05,342
"907",2018-10-06,257
"917",2018-10-07,252
"968",2018-10-08,228
"766",2018-10-09,294
"818",2018-10-10,319
"884",2018-10-11,267
"923",2018-10-12,284
"949",2018-10-13,251
"869",2018-10-14,256
"739",2018-10-15,237
"944",2018-10-16,282
"882",2018-10-17,254
"787",2018-10-18,278
"930",2018-10-19,250
"928",2018-10-20,290
"962",2018-10-21,189
"853",2018-10-22,298
"934",2018-10-23,270
"951",2018-10-24,258
"908",2018-10-25,289
"844",2018-10-26,257
"783",2018-10-27,265
"841",2018-10-28,259
"821",2018-10-29,251
"779",2018-10-30,263
"734",2018-10-31,326
"761",2018-11-01,320
"802",2018-11-02,310
"811",2018-11-03,310
"929",2018-11-04,228
"743",2018-11-05,272
"835",2018-11-06,247
